,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis,valve,pickup
0,04/01/2023 17-18-56,15.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-19-56,15.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-19-57,15.00,20.00,7000,1,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-19-59,15.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-01,14.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-02,15.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-04,15.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-05,15.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-07,15.50,20.00,7000,1,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-08,15.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-10,14.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-12,15.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-13,15.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-15,15.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-16,15.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-18,15.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-19,15.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-21,15.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-22,15.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-24,15.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-26,15.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-27,14.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-29,15.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-30,15.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-32,15.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-33,15.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-35,15.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-37,15.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-38,14.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-40,15.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-41,15.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-43,15.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-44,15.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/01/2023 17-20-47,15.25,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,04/01/2023 17-20-48,15.25,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,04/01/2023 17-20-48,15.00,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,04/01/2023 17-20-49,14.75,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,04/01/2023 17-20-50,15.00,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,04/01/2023 17-20-50,15.25,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,04/01/2023 17-20-51,15.25,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,04/01/2023 17-20-52,15.25,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,04/01/2023 17-20-52,15.00,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,04/01/2023 17-20-53,15.00,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,04/01/2023 17-20-54,14.75,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,04/01/2023 17-20-54,15.00,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,04/01/2023 17-20-55,15.00,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,04/01/2023 17-20-56,15.00,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,04/01/2023 17-20-56,14.75,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,04/01/2023 17-20-57,15.25,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,04/01/2023 17-20-58,15.25,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,04/01/2023 17-20-58,15.50,20.00,7000,0,20,L,O,50,20,1.00,2,0
