,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis
0,07/04/2022 15:38:43,0.00,20.00,7000,0,0,L,O,50,50,1.00
0,07/04/2022 15:38:46,-2.00,20.00,7000,0,0,L,O,50,50,1.00
0,07/04/2022 15:38:50,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:38:52,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:38:54,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:38:56,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:38:59,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 15:39:01,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 15:39:03,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 15:39:06,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 15:39:08,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 15:39:10,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 15:39:14,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,07/04/2022 15:39:16,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,07/04/2022 15:39:19,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:39:22,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:39:24,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:39:26,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:39:28,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:39:30,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:39:33,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:39:35,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:39:37,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:39:39,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:39:42,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:39:44,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:39:46,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:39:48,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:39:50,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:39:53,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:39:55,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:39:57,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:39:59,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:40:02,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:40:04,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:40:06,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:40:08,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:40:10,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:40:13,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 15:40:16,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 15:40:18,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 15:40:20,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 15:40:23,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 15:40:25,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 15:40:28,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 15:40:30,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 15:40:33,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 15:40:35,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 15:40:37,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 15:40:40,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 15:40:42,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 15:40:44,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 15:40:47,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 15:40:49,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 15:40:51,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 15:40:54,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 15:40:56,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 15:40:59,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 15:41:01,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 15:41:04,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 15:41:06,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 15:41:08,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 15:41:11,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 15:41:13,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 15:41:16,-2.00,7.00,7000,0,0,L,O,50,0,1.00
