,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis
0,08/04/2022 16:19:50,0,0,0,0,0,L,O,0,0,1
0,08/04/2022 16:19:50,0,0,0,0,0,L,O,0,0,1
0,08/04/2022 16:19:51,0,0,0,0,0,L,O,0,0,1
0,08/04/2022 16:19:52,0,0,0,0,0,L,O,0,0,1
0,08/04/2022 16:19:52,0,0,0,0,0,L,O,0,0,1
0,08/04/2022 16:19:52,0,0,0,0,0,L,O,0,0,1
0,08/04/2022 16:19:53,0,0,0,0,0,L,O,0,0,1
0,08/04/2022 16:19:53,0,0,0,0,0,L,O,0,0,1
0,08/04/2022 16:19:53,0,0,0,0,0,L,O,0,0,1
0,08/04/2022 16:19:54,0,0,0,0,0,L,O,0,0,1
0,08/04/2022 16:19:54,0,0,0,0,0,L,O,0,0,1
0,08/04/2022 16:19:54,0,0,0,0,0,L,O,0,0,1
0,08/04/2022 16:19:55,0,0,0,0,0,L,O,0,0,1
0,08/04/2022 16:19:55,0,0,0,0,0,L,O,0,0,1
0,08/04/2022 16:19:56,0,0,0,0,0,L,O,0,0,1
0,08/04/2022 16:19:56,0,0,0,0,0,L,O,0,0,1
0,08/04/2022 16:19:56,0,0,0,0,0,L,O,0,0,1
0,08/04/2022 16:19:57,0,0,0,0,0,L,O,0,0,1
0,08/04/2022 16:19:57,0,0,0,0,0,L,O,0,0,1
0,08/04/2022 16:19:57,0,0,0,0,0,L,O,0,0,1
