,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis
0,08/04/2022 12:50:08,0.00,20.00,7000,0,0,L,O,50,50,1.00
0,08/04/2022 12:50:11,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,08/04/2022 12:50:14,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,08/04/2022 12:50:16,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,08/04/2022 12:50:18,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,08/04/2022 12:50:21,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 12:50:24,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 12:50:26,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 12:50:29,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 12:50:31,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 12:50:33,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 12:50:36,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 12:50:38,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 12:50:41,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 12:50:44,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,08/04/2022 12:50:46,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,08/04/2022 12:50:49,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,08/04/2022 12:50:51,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,08/04/2022 12:50:54,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,08/04/2022 12:50:56,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,08/04/2022 12:50:58,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,08/04/2022 12:51:01,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,08/04/2022 12:51:04,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,08/04/2022 12:51:06,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,08/04/2022 12:51:08,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,08/04/2022 12:51:11,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,08/04/2022 12:51:13,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,08/04/2022 12:51:16,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,08/04/2022 12:51:18,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,08/04/2022 12:51:20,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,08/04/2022 12:51:22,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,08/04/2022 12:51:24,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,08/04/2022 12:51:27,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,08/04/2022 12:51:30,-2.00,7.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 12:51:33,-2.00,7.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 12:51:35,-2.00,7.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 12:51:37,-2.00,7.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 12:51:40,-2.00,7.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 12:51:43,-2.00,7.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 12:51:45,-2.00,7.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 12:51:47,-2.00,7.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 12:51:49,-2.00,7.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 12:51:52,-2.00,7.00,7000,0,10,H,O,50,0,1.00
