,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis,valve,pickup
0,05/10/2022 09-31-48,25.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,05/10/2022 09-33-08,26.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,05/10/2022 09-33-09,26.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,05/10/2022 09-33-11,26.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,05/10/2022 09-33-13,26.50,20.00,7000,0,25,L,O,100,30,1.00,2,0
0,05/10/2022 09-33-14,25.75,20.00,7000,0,25,L,O,100,30,1.00,2,0
0,05/10/2022 09-33-16,25.75,20.00,7000,0,25,L,O,100,30,1.00,2,0
0,05/10/2022 09-33-18,25.50,20.00,7000,0,0,L,O,100,30,1.00,1,0
0,05/10/2022 09-33-21,26.25,20.00,7000,0,0,L,O,100,30,1.00,0,0
0,05/10/2022 09-33-22,26.25,20.00,7000,0,0,L,O,100,30,1.00,0,0
0,05/10/2022 09-33-24,26.25,20.00,7000,0,0,L,O,100,30,1.00,0,0
0,05/10/2022 09-33-26,25.75,20.00,7000,0,25,L,C,100,30,1.00,2,0
0,05/10/2022 09-33-27,26.25,20.00,7000,0,25,L,C,100,30,1.00,2,0
0,05/10/2022 09-33-27,26.50,20.00,7000,0,25,L,C,100,30,1.00,2,0
0,05/10/2022 09-33-29,25.50,20.00,7000,0,25,L,C,100,30,1.00,2,0
0,05/10/2022 09-33-31,25.50,20.00,7000,0,25,L,C,100,30,1.00,2,0
0,05/10/2022 09-33-33,26.25,20.00,7000,0,15,L,C,100,30,1.00,1,0
0,05/10/2022 09-33-34,25.75,20.00,7000,0,15,L,C,100,30,1.00,1,0
0,05/10/2022 09-33-35,26.25,20.00,7000,0,15,L,C,100,30,1.00,1,0
0,05/10/2022 09-33-37,25.75,20.00,7000,0,15,L,C,100,30,1.00,1,0
0,05/10/2022 09-33-40,25.75,20.00,7000,0,0,L,O,100,30,1.00,1,0
0,05/10/2022 09-33-41,26.25,20.00,7000,0,0,L,O,100,30,1.00,0,0
0,05/10/2022 09-33-42,26.25,20.00,7000,0,0,H,O,100,30,1.00,0,0
0,05/10/2022 09-33-43,26.25,20.00,7000,0,0,H,O,100,30,1.00,0,0
0,05/10/2022 09-33-45,26.25,20.00,7000,0,0,H,O,100,30,1.00,0,0
0,05/10/2022 09-33-46,25.75,20.00,7000,0,0,H,O,100,30,1.00,0,0
0,05/10/2022 09-33-48,26.00,20.00,7000,0,0,H,O,100,30,1.00,0,0
0,05/10/2022 09-33-50,26.00,20.00,7000,0,0,H,O,100,30,1.00,0,0
0,05/10/2022 09-33-52,26.25,20.00,7000,0,10,H,O,100,30,1.00,1,0
0,05/10/2022 09-33-54,26.25,20.00,7000,0,0,H,O,100,30,1.00,0,0
0,05/10/2022 09-33-55,25.25,20.00,7000,0,0,H,O,100,30,1.00,0,0
0,05/10/2022 09-33-57,26.00,20.00,7000,0,0,H,O,100,30,1.00,0,0
0,05/10/2022 09-33-59,26.25,20.00,7000,0,0,H,O,100,30,1.00,0,0
0,05/10/2022 09-34-00,25.75,20.00,7000,0,0,H,O,100,30,1.00,0,0
0,05/10/2022 09-34-02,26.00,20.00,7000,0,0,H,O,100,30,1.00,0,0
0,05/10/2022 09-34-04,25.75,20.00,7000,0,10,H,O,100,30,1.00,1,0
0,05/10/2022 09-34-06,26.00,20.00,7000,0,0,H,O,100,30,1.00,0,0
0,05/10/2022 09-34-07,26.00,20.00,7000,0,0,H,O,100,30,1.00,0,0
0,05/10/2022 09-34-09,26.00,20.00,7000,0,0,H,O,100,30,1.00,0,0
0,05/10/2022 09-34-11,26.00,20.00,7000,0,0,H,O,100,30,1.00,0,0
0,05/10/2022 09-34-12,25.75,20.00,7000,0,0,H,O,100,30,1.00,0,0
0,05/10/2022 09-34-14,25.50,20.00,7000,0,0,H,O,100,30,1.00,0,0
0,05/10/2022 09-34-16,25.75,20.00,7000,0,10,H,O,100,30,1.00,1,0
0,05/10/2022 09-34-18,26.00,20.00,7000,0,0,H,O,100,30,1.00,0,0
