,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis
0,13/05/2022 12:02:58,-2.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/05/2022 12:02:59,-2.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/05/2022 12:03:01,-2.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/05/2022 12:03:02,-2.00,20.00,7000,0,20,L,O,50,20,1.00
0,13/05/2022 12:03:03,-2.00,20.00,7000,0,20,L,O,50,20,1.00
0,13/05/2022 12:03:03,-2.00,20.00,7000,0,20,L,O,50,20,1.00
0,13/05/2022 12:03:03,-2.00,20.00,7000,0,20,L,O,50,20,1.00
0,13/05/2022 12:03:03,-2.00,20.00,7000,0,20,L,O,50,20,1.00
0,13/05/2022 12:03:03,-2.00,20.00,7000,0,20,L,O,50,20,1.00
0,13/05/2022 12:03:04,-2.00,20.00,7000,0,20,L,O,50,20,1.00
0,13/05/2022 12:03:04,-2.00,20.00,7000,0,20,L,O,50,20,1.00
0,13/05/2022 12:03:04,-2.00,20.00,7000,0,20,L,O,50,20,1.00
0,13/05/2022 12:03:04,-2.00,20.00,7000,0,20,L,O,50,20,1.00
0,13/05/2022 12:03:05,-2.00,20.00,7000,0,20,L,O,50,20,1.00
0,13/05/2022 12:03:05,-2.00,20.00,7000,0,20,L,O,50,20,1.00
0,13/05/2022 12:03:05,-2.00,20.00,7000,0,20,L,O,50,20,1.00
0,13/05/2022 12:03:05,-2.00,20.00,7000,0,20,L,O,50,20,1.00
0,13/05/2022 12:03:06,-2.00,20.00,7000,0,20,L,O,50,20,1.00
0,13/05/2022 12:03:06,-2.00,20.00,7000,0,20,L,O,50,20,1.00
0,13/05/2022 12:03:06,-2.00,20.00,7000,0,20,L,O,50,20,1.00
0,13/05/2022 12:03:06,-2.00,20.00,7000,0,20,L,O,50,20,1.00
