,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis
0,07/04/2022 14:23:09,0.00,20.00,7000,0,0,L,O,50,50,1.00
0,07/04/2022 14:23:13,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 14:23:15,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 14:23:18,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 14:23:20,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 14:23:23,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:23:25,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:23:27,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:23:29,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:23:31,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:23:34,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:23:37,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,07/04/2022 14:23:39,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,07/04/2022 14:23:42,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,07/04/2022 14:23:44,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,07/04/2022 14:23:47,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,07/04/2022 14:23:49,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,07/04/2022 14:23:52,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,07/04/2022 14:23:54,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,07/04/2022 14:23:56,-2.00,20.00,7000,0,10,L,O,50,0,1.00
