,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis,valve,pickup
0,12/09/2022 16:42:17,21.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,12/09/2022 16:43:27,22.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,12/09/2022 16:43:29,22.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,12/09/2022 16:43:30,21.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,12/09/2022 16:43:32,22.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,12/09/2022 16:43:34,21.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,12/09/2022 16:43:35,22.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,12/09/2022 16:43:37,22.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,12/09/2022 16:43:38,21.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,12/09/2022 16:43:40,22.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,12/09/2022 16:43:41,22.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,12/09/2022 16:43:43,22.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,12/09/2022 16:43:45,22.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,12/09/2022 16:43:47,22.00,20.00,7000,0,40,L,O,100,30,1.00,2,0
0,12/09/2022 16:43:48,21.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:43:49,22.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:43:50,22.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:43:50,22.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:43:51,21.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:43:52,21.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:43:52,22.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:43:53,22.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:43:54,21.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:43:54,21.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:43:55,22.25,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:43:56,22.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:43:56,22.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:43:57,21.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:43:58,21.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:43:59,21.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:43:59,22.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:44:00,22.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:44:01,22.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:44:01,21.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:44:02,22.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:44:03,21.50,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:44:03,22.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:44:04,22.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:44:05,22.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:44:05,22.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:44:06,21.50,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:44:07,22.25,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:44:07,21.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:44:08,21.50,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:44:09,21.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,12/09/2022 16:44:09,22.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
