,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis
0,14/04/2022 10:09:18,22.00,20.00,7000,0,0,L,O,50,50,1.00
0,14/04/2022 10:09:19,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,14/04/2022 10:09:19,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,14/04/2022 10:09:20,21.00,20.00,7000,0,0,L,O,50,50,1.00
0,14/04/2022 10:09:22,22.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:23,20.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:23,24.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:24,24.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:25,22.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:25,20.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:26,22.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:27,30.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:27,24.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:28,23.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:29,23.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:30,25.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:30,26.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:31,22.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:32,23.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:32,22.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:33,23.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:34,22.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:34,21.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:35,22.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:36,22.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:36,23.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:37,22.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:38,25.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:38,22.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:39,25.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:40,23.00,20.00,7000,0,20,L,O,50,0,1.00
0,14/04/2022 10:09:40,23.00,20.00,7000,0,20,L,O,50,0,1.00
