,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis
0,05/05/2022 16:41:17,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:15,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:17,24.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:18,22.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:20,24.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:22,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:23,24.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:25,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:26,22.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:28,25.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:29,24.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:31,24.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:33,24.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:34,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:36,21.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:37,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:39,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:40,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:42,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:43,22.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:45,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:47,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:48,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:50,26.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:51,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:53,22.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:54,24.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:56,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:58,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:42:59,26.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:43:01,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:43:02,22.00,20.00,7000,0,0,L,O,50,50,1.00
0,05/05/2022 16:43:04,23.00,20.00,7000,0,20,L,O,50,20,1.00
0,05/05/2022 16:43:05,23.00,20.00,7000,0,20,L,O,50,20,1.00
0,05/05/2022 16:43:06,23.00,20.00,7000,0,20,L,O,50,20,1.00
0,05/05/2022 16:43:07,22.00,20.00,7000,0,20,L,O,50,20,1.00
0,05/05/2022 16:43:10,23.00,20.00,7000,0,0,L,O,50,20,1.00
0,05/05/2022 16:43:11,23.00,20.00,7000,0,0,L,O,50,20,1.00
0,05/05/2022 16:43:13,21.00,20.00,7000,0,0,L,O,50,20,1.00
0,05/05/2022 16:43:14,23.00,20.00,7000,0,0,L,O,50,20,1.00
0,05/05/2022 16:43:16,24.00,20.00,7000,0,0,L,O,50,20,1.00
0,05/05/2022 16:43:17,24.00,20.00,7000,0,0,L,O,50,20,1.00
0,05/05/2022 16:43:19,23.00,20.00,7000,0,0,L,O,50,20,1.00
0,05/05/2022 16:43:21,24.00,20.00,7000,0,10,L,O,50,20,1.00
0,05/05/2022 16:43:22,22.00,20.00,7000,0,10,L,C,50,20,1.00
0,05/05/2022 16:43:23,22.00,20.00,7000,0,10,L,C,50,20,1.00
0,05/05/2022 16:43:24,29.00,20.00,7000,0,10,L,C,50,20,1.00
0,05/05/2022 16:43:26,23.00,20.00,7000,0,0,L,C,50,20,1.00
0,05/05/2022 16:43:27,23.00,20.00,7000,0,0,L,C,50,20,1.00
0,05/05/2022 16:43:29,24.00,20.00,7000,0,10,L,C,50,20,1.00
0,05/05/2022 16:43:30,23.00,20.00,7000,0,10,L,C,50,20,1.00
0,05/05/2022 16:43:31,23.00,20.00,7000,0,10,L,C,50,20,1.00
0,05/05/2022 16:43:31,24.00,20.00,7000,0,10,L,C,50,20,1.00
0,05/05/2022 16:43:32,23.00,20.00,7000,0,10,L,C,50,20,1.00
0,05/05/2022 16:43:33,23.00,20.00,7000,0,10,L,C,50,20,1.00
0,05/05/2022 16:43:33,23.00,20.00,7000,0,10,L,C,50,20,1.00
0,05/05/2022 16:43:34,24.00,20.00,7000,0,10,L,C,50,20,1.00
0,05/05/2022 16:43:35,23.00,20.00,7000,0,10,L,C,50,20,1.00
0,05/05/2022 16:43:35,23.00,20.00,7000,0,10,L,C,50,20,1.00
0,05/05/2022 16:43:36,23.00,20.00,7000,0,10,L,C,50,20,1.00
0,05/05/2022 16:43:37,22.00,20.00,7000,0,10,L,C,50,20,1.00
0,05/05/2022 16:43:38,23.00,20.00,7000,0,10,L,C,50,20,1.00
0,05/05/2022 16:43:40,28.00,20.00,7000,0,0,H,O,50,20,1.00
0,05/05/2022 16:43:41,23.00,20.00,7000,0,0,H,O,50,20,1.00
0,05/05/2022 16:43:42,24.00,20.00,7000,0,0,H,O,50,20,1.00
0,05/05/2022 16:43:44,23.00,20.00,7000,0,0,H,O,50,20,1.00
0,05/05/2022 16:43:45,23.00,20.00,7000,0,0,H,O,50,20,1.00
0,05/05/2022 16:43:47,23.00,20.00,7000,0,0,H,O,50,20,1.00
0,05/05/2022 16:43:49,23.00,20.00,7000,0,0,H,O,50,20,1.00
0,05/05/2022 16:43:51,23.00,20.00,7000,0,10,H,O,50,20,1.00
0,05/05/2022 16:43:52,23.00,20.00,7000,0,10,H,O,50,20,1.00
0,05/05/2022 16:43:54,22.00,20.00,7000,0,10,H,O,50,20,1.00
0,05/05/2022 16:43:56,24.00,20.00,7000,0,0,H,O,50,20,1.00
0,05/05/2022 16:43:57,23.00,20.00,7000,0,0,H,O,50,20,1.00
0,05/05/2022 16:43:59,23.00,20.00,7000,0,0,H,O,50,20,1.00
0,05/05/2022 16:44:00,24.00,20.00,7000,0,15,H,O,50,20,1.00
0,05/05/2022 16:44:27,24.00,20.00,7000,0,15,H,O,50,20,1.00
0,05/05/2022 16:44:29,23.00,20.00,7000,0,15,H,O,50,20,1.00
0,05/05/2022 16:44:30,23.00,20.00,7000,0,15,H,O,50,20,1.00
0,05/05/2022 16:44:32,24.00,20.00,7000,0,15,H,O,50,20,1.00
0,05/05/2022 16:44:49,26.00,20.00,7000,0,15,H,O,50,20,1.00
0,05/05/2022 16:45:33,24.00,20.00,7000,0,15,H,O,50,20,1.00
0,05/05/2022 16:45:34,23.00,20.00,7000,0,15,H,O,50,20,1.00
0,05/05/2022 16:45:36,30.00,20.00,7000,0,15,H,O,50,20,1.00
0,05/05/2022 16:45:37,25.00,20.00,7000,0,15,H,O,50,20,1.00
0,05/05/2022 16:45:39,24.00,20.00,7000,0,15,H,O,50,20,1.00
0,05/05/2022 16:45:41,23.00,20.00,7000,0,15,H,O,50,20,1.00
0,05/05/2022 16:45:42,22.00,20.00,7000,0,15,H,O,50,20,1.00
0,05/05/2022 16:46:30,26.00,20.00,7000,0,15,H,O,50,20,1.00
0,05/05/2022 16:47:28,23.00,20.00,7000,0,10,L,O,50,20,1.00
0,05/05/2022 16:47:30,24.00,20.00,7000,0,10,L,O,50,20,1.00
0,05/05/2022 16:47:31,23.00,20.00,7000,0,10,L,O,50,20,1.00
