,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis
0,02/05/2022 14:57:25,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,02/05/2022 14:57:27,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,02/05/2022 14:57:28,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,02/05/2022 14:57:30,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,02/05/2022 14:57:31,22.00,20.00,7000,0,0,L,O,50,50,1.00
0,02/05/2022 14:57:33,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,02/05/2022 14:57:35,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,02/05/2022 14:57:36,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,02/05/2022 14:57:38,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,02/05/2022 14:57:39,22.00,20.00,7000,0,0,L,O,50,50,1.00
0,02/05/2022 14:57:41,22.00,20.00,7000,0,0,L,O,50,50,1.00
0,02/05/2022 14:57:42,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,02/05/2022 14:57:44,22.00,20.00,7000,0,0,L,O,50,50,1.00
0,02/05/2022 14:57:46,22.00,20.00,7000,0,0,L,O,50,50,1.00
0,02/05/2022 14:57:47,22.00,20.00,7000,0,0,L,O,50,50,1.00
0,02/05/2022 14:57:49,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,02/05/2022 14:57:50,22.00,20.00,7000,0,0,L,O,50,50,1.00
0,02/05/2022 14:57:52,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,02/05/2022 14:57:53,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,02/05/2022 14:57:55,22.00,20.00,7000,0,0,L,O,50,50,1.00
