,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis
0,13/04/2022 10:30:01,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:01,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:02,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:03,24.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:03,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:04,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:05,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:05,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:06,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:07,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:07,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:08,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:09,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:09,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:10,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:11,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:11,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:12,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:13,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:13,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:14,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:15,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:15,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:16,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:17,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:18,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:18,24.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:19,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:20,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:20,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:21,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:22,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:22,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:23,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:24,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:24,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:25,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:26,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:26,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:27,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:28,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:28,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:29,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:30,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:30,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:31,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:32,23.00,20.00,7000,0,0,L,O,50,50,1.00
0,13/04/2022 10:30:32,23.00,20.00,7000,0,0,L,O,50,50,1.00
