,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis
0,25/04/2022 19:07:18,0.00,20.00,7000,0,0,L,O,50,50,1.00
0,25/04/2022 19:07:20,-2.00,20.00,7000,0,0,L,O,50,50,1.00
0,25/04/2022 19:07:23,-2.00,20.00,7000,0,0,L,O,50,50,1.00
0,25/04/2022 19:07:27,-2.00,20.00,7000,0,0,L,O,50,50,1.00
0,25/04/2022 19:07:30,-2.00,20.00,7000,0,0,L,O,50,50,1.00
0,25/04/2022 19:07:33,-2.00,20.00,7000,0,0,L,O,50,50,1.00
0,25/04/2022 19:07:35,-2.00,20.00,7000,0,0,L,O,50,50,1.00
0,25/04/2022 19:07:39,-2.00,20.00,7000,0,0,L,O,50,50,1.00
0,25/04/2022 19:07:41,-2.00,20.00,7000,0,0,L,C,50,50,1.00
0,25/04/2022 19:07:45,-2.00,20.00,7000,0,10,L,C,50,50,1.00
