,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis,valve,pickup
0,29/07/2022 13:50:11,25.88,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:13,26.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:15,25.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:17,25.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:18,25.88,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:20,25.88,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:22,25.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:24,25.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:26,25.63,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:27,25.63,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:29,25.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:31,25.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:33,25.63,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:35,25.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:36,25.13,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:38,25.38,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:40,25.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:42,25.13,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:43,25.38,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:45,24.88,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,29/07/2022 13:50:47,25.13,20.00,7000,0,0,L,O,50,50,1.00,0,0
