,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis,valve,pickup
0,28/09/2022 09-46-42,11.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-47-51,18.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-47-52,18.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-47-54,18.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-47-55,19.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-47-57,19.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-47-59,18.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-00,19.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-02,18.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-03,19.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-05,19.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-06,19.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-08,19.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-10,19.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-11,19.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-13,20.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-14,20.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-16,19.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-17,20.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-19,19.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-21,20.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-22,19.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-24,20.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-25,20.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-27,20.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-28,20.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-30,20.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-32,20.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-33,20.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-35,20.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-36,21.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-38,21.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-39,21.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-41,21.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-43,21.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-44,21.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-46,21.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-47,21.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-49,21.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-50,21.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-52,21.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-53,21.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-55,21.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-57,21.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-48-58,22.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-00,21.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-01,21.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-03,22.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-04,22.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-06,22.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-08,22.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-09,22.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-11,22.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-12,22.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-14,22.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-15,22.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-17,22.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-19,22.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-20,22.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-22,22.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-23,22.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-25,23.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-26,22.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-28,22.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-30,22.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-31,23.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-33,22.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-34,23.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-36,23.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-37,23.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-39,23.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-41,23.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-42,23.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-44,23.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-45,23.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-47,23.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-48,23.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-50,23.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-52,23.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-53,23.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-55,23.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-56,22.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-58,23.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-49-59,23.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-01,23.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-02,23.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-04,24.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-06,23.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-07,23.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-09,24.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-10,24.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-12,23.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-13,24.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-15,24.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-17,23.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-18,24.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-20,24.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-21,24.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-23,24.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-24,24.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-26,24.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-28,24.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-29,24.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-31,24.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-32,23.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-34,24.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-35,24.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-37,24.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-39,24.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-40,24.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-42,24.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-43,24.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-45,24.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-46,24.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-48,24.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-50,24.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-51,24.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-53,24.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-54,24.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-56,24.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,28/09/2022 09-50-58,24.75,20.00,7000,0,50,L,O,100,30,1.00,2,0
0,28/09/2022 09-51-00,25.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-01,24.25,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-01,25.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-02,24.50,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-03,24.50,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-03,24.50,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-04,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-05,24.50,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-05,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-06,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-07,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-07,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-08,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-09,24.50,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-10,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-10,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-11,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-12,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-12,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-13,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-14,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-14,24.50,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-15,25.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-16,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-16,25.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-17,25.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-18,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-18,25.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-19,25.25,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-20,24.25,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-20,24.50,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-21,25.25,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-22,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-22,25.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-23,24.50,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-24,24.50,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-24,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-25,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-26,25.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-26,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-27,25.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-28,25.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-29,24.25,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-29,25.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-30,25.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-31,25.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-31,25.25,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-32,24.75,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-33,25.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-33,24.50,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-34,24.50,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-35,25.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-35,25.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-36,25.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-37,25.25,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-37,25.25,20.00,7000,0,95,L,O,100,30,1.00,1,0
0,28/09/2022 09-51-38,25.00,20.00,7000,0,95,L,O,100,30,1.00,1,0
