,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis,valve,pickup
0,02/09/2022 14:40:17,15.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,02/09/2022 14:41:18,15.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,02/09/2022 14:41:19,15.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,02/09/2022 14:41:21,15.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,02/09/2022 14:41:23,14.25,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,02/09/2022 14:41:24,14.25,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,02/09/2022 14:41:24,14.50,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,02/09/2022 14:41:25,14.25,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,02/09/2022 14:41:26,14.50,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,02/09/2022 14:41:26,14.25,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,02/09/2022 14:41:27,14.00,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,02/09/2022 14:41:28,14.00,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,02/09/2022 14:41:28,14.00,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,02/09/2022 14:41:29,14.50,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,02/09/2022 14:41:30,14.25,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,02/09/2022 14:41:30,14.75,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,02/09/2022 14:41:31,14.25,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,02/09/2022 14:41:32,14.25,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,02/09/2022 14:41:32,14.25,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,02/09/2022 14:41:33,13.75,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,02/09/2022 14:41:34,14.00,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,02/09/2022 14:41:34,14.00,20.00,7000,0,20,L,O,50,20,1.00,2,0
