,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis
0,12/04/2022 00:10:19,0.00,20.00,7000,0,0,L,O,50,50,1.00
0,12/04/2022 00:10:22,-2.00,20.00,7000,0,20,L,O,50,0,1.00
0,12/04/2022 00:10:25,-2.00,20.00,7000,0,20,L,O,50,0,1.00
0,12/04/2022 00:10:27,-2.00,20.00,7000,0,20,L,O,50,0,1.00
0,12/04/2022 00:10:29,-2.00,20.00,7000,0,20,L,O,50,0,1.00
0,12/04/2022 00:10:31,-2.00,20.00,7000,0,20,L,O,50,0,1.00
0,12/04/2022 00:10:34,-2.00,20.00,7000,0,20,L,O,50,0,1.00
0,12/04/2022 00:10:36,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,12/04/2022 00:10:39,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,12/04/2022 00:10:41,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,12/04/2022 00:10:43,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,12/04/2022 00:10:45,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,12/04/2022 00:10:48,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,12/04/2022 00:10:50,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,12/04/2022 00:10:53,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,12/04/2022 00:10:55,-2.00,20.00,7000,0,10,L,O,50,0,1.00
