,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis,pickup
0,17/05/2022 12:48:02,21.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:48:56,22.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:48:57,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:48:59,25.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:49:01,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:49:02,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:49:04,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:49:05,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:49:07,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:49:08,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:49:10,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:49:12,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:49:13,22.00,20.00,7000,1,0,L,O,50,50,1.00,0
