,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis
0,12/04/2022 16:58:21,24.00,20.00,7000,0,0,L,O,50,50,1.00
0,12/04/2022 16:58:22,24.00,20.00,7000,0,0,L,O,50,50,1.00
0,12/04/2022 16:58:23,24.00,20.00,7000,0,0,L,O,50,50,1.00
0,12/04/2022 16:58:24,24.00,20.00,7000,0,0,L,O,50,50,1.00
0,12/04/2022 16:58:30,23.00,20.00,7000,0,20,L,C,50,0,1.00
0,12/04/2022 16:58:30,24.00,20.00,7000,0,20,L,C,50,0,1.00
0,12/04/2022 16:58:31,24.00,20.00,7000,0,20,L,C,50,0,1.00
0,12/04/2022 16:58:37,24.00,20.00,7000,0,10,L,O,50,0,1.00
0,12/04/2022 16:58:37,24.00,20.00,7000,0,10,L,O,50,0,1.00
0,12/04/2022 16:58:38,24.00,20.00,7000,0,10,L,O,50,0,1.00
0,12/04/2022 16:58:39,23.00,20.00,7000,0,10,L,O,50,0,1.00
0,12/04/2022 16:58:39,23.00,20.00,7000,0,10,L,O,50,0,1.00
0,12/04/2022 16:58:40,23.00,20.00,7000,0,10,L,O,50,0,1.00
0,12/04/2022 16:58:41,23.00,20.00,7000,0,10,L,O,50,0,1.00
0,12/04/2022 16:58:41,24.00,20.00,7000,0,10,L,O,50,0,1.00
0,12/04/2022 16:58:42,24.00,20.00,7000,0,10,L,O,50,0,1.00
0,12/04/2022 16:58:43,24.00,20.00,7000,0,10,L,O,50,0,1.00
0,12/04/2022 16:58:49,24.00,20.00,7000,0,20,L,O,50,0,1.00
0,12/04/2022 16:58:49,24.00,20.00,7000,0,20,L,O,50,0,1.00
0,12/04/2022 16:58:50,23.00,20.00,7000,0,20,L,O,50,0,1.00
0,12/04/2022 16:58:51,23.00,20.00,7000,0,20,L,O,50,0,1.00
0,12/04/2022 16:58:51,23.00,20.00,7000,0,20,L,O,50,0,1.00
0,12/04/2022 16:58:52,24.00,20.00,7000,0,20,L,O,50,0,1.00
0,12/04/2022 16:58:53,23.00,20.00,7000,0,20,L,O,50,0,1.00
0,12/04/2022 16:58:53,23.00,20.00,7000,0,20,L,O,50,0,1.00
0,12/04/2022 16:58:54,24.00,20.00,7000,0,20,L,O,50,0,1.00
0,12/04/2022 16:59:00,24.00,20.00,7000,0,20,L,C,50,0,1.00
0,12/04/2022 16:59:00,23.00,20.00,7000,0,20,L,C,50,0,1.00
0,12/04/2022 16:59:02,24.00,20.00,7000,0,0,H,O,50,0,1.00
0,12/04/2022 16:59:02,24.00,20.00,7000,0,0,H,O,50,0,1.00
0,12/04/2022 16:59:03,24.00,20.00,7000,0,0,H,O,50,0,1.00
0,12/04/2022 16:59:04,23.00,20.00,7000,0,0,H,O,50,0,1.00
0,12/04/2022 16:59:04,24.00,20.00,7000,0,0,H,O,50,0,1.00
0,12/04/2022 16:59:05,24.00,20.00,7000,0,0,H,O,50,0,1.00
0,12/04/2022 16:59:06,23.00,20.00,7000,0,0,H,O,50,0,1.00
0,12/04/2022 16:59:06,24.00,20.00,7000,0,0,H,O,50,0,1.00
0,12/04/2022 16:59:07,24.00,20.00,7000,0,0,H,O,50,0,1.00
0,12/04/2022 16:59:08,24.00,20.00,7000,0,0,H,O,50,0,1.00
0,12/04/2022 16:59:08,24.00,20.00,7000,0,0,H,O,50,0,1.00
0,12/04/2022 16:59:09,24.00,20.00,7000,0,0,H,O,50,0,1.00
0,12/04/2022 16:59:10,23.00,20.00,7000,0,0,H,O,50,0,1.00
0,12/04/2022 16:59:10,24.00,20.00,7000,0,0,H,O,50,0,1.00
0,12/04/2022 16:59:11,23.00,20.00,7000,0,0,H,O,50,0,1.00
0,12/04/2022 16:59:12,23.00,20.00,7000,0,10,H,O,50,0,1.00
0,12/04/2022 16:59:12,23.00,20.00,7000,0,10,H,O,50,0,1.00
0,12/04/2022 16:59:13,23.00,20.00,7000,0,10,H,O,50,0,1.00
0,12/04/2022 16:59:14,23.00,20.00,7000,0,10,H,O,50,0,1.00
0,12/04/2022 16:59:15,24.00,20.00,7000,0,10,H,O,50,0,1.00
0,12/04/2022 16:59:16,24.00,20.00,7000,0,10,H,O,50,0,1.00
0,12/04/2022 16:59:17,24.00,20.00,7000,0,10,H,O,50,0,1.00
0,12/04/2022 16:59:17,24.00,20.00,7000,0,10,H,O,50,0,1.00
0,12/04/2022 16:59:18,24.00,20.00,7000,0,10,H,O,50,0,1.00
0,12/04/2022 16:59:19,24.00,20.00,7000,0,10,H,O,50,0,1.00
0,12/04/2022 16:59:19,24.00,20.00,7000,0,10,H,O,50,0,1.00
0,12/04/2022 16:59:20,24.00,20.00,7000,0,10,H,O,50,0,1.00
0,12/04/2022 16:59:21,24.00,20.00,7000,0,10,H,O,50,0,1.00
0,12/04/2022 16:59:21,24.00,20.00,7000,0,10,H,O,50,0,1.00
0,12/04/2022 16:59:22,24.00,20.00,7000,0,10,H,O,50,0,1.00
0,12/04/2022 16:59:23,24.00,20.00,7000,0,10,H,O,50,0,1.00
0,12/04/2022 16:59:23,23.00,20.00,7000,0,10,H,O,50,0,1.00
0,12/04/2022 17:00:03,25.00,20.00,7000,0,10,H,O,50,0,1.00
