,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis,valve,pickup
0,04/10/2022 15-34-32,29.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-35-43,28.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-35-45,28.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-35-46,28.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-35-48,29.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-35-49,29.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-35-51,28.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-35-53,28.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-35-54,28.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-35-56,28.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-35-57,29.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-35-59,29.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-36-00,29.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-36-02,28.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-36-04,28.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-36-05,28.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-36-07,29.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-36-08,28.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-36-10,29.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-36-11,28.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-36-13,29.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-36-15,28.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-36-16,29.00,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-36-18,28.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-36-19,28.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-36-21,28.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-36-22,28.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-36-24,28.75,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,04/10/2022 15-36-26,29.00,20.00,7000,0,25,L,O,100,30,1.00,2,0
0,04/10/2022 15-36-27,28.75,20.00,7000,0,25,L,O,100,30,1.00,2,0
0,04/10/2022 15-36-28,28.25,20.00,7000,0,25,L,O,100,30,1.00,2,0
0,04/10/2022 15-36-28,29.00,20.00,7000,0,25,L,O,100,30,1.00,2,0
