,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis
0,08/04/2022 20:16:47,0.00,20.00,7000,0,0,L,O,50,50,1.00
0,08/04/2022 20:16:51,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,08/04/2022 20:16:53,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,08/04/2022 20:16:56,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,08/04/2022 20:16:59,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:01,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:03,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:06,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:08,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:10,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:12,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:14,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:17,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:19,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:21,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:23,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:25,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:28,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:30,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:32,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:34,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:37,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:39,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:41,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:43,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:45,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:48,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:50,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:52,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:54,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:57,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:17:59,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:18:01,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:18:03,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:18:05,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:18:08,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:18:10,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:18:12,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:18:14,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:18:17,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,08/04/2022 20:18:19,-2.00,20.00,7000,0,10,L,O,50,0,1.00
